Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
City Clerk's Office,IP Workflow Management System SOGR,IP Workflow Management System SOGR 2028,0,0,0,0,0,0,185,0,0,0,185,CW,City Wide,State of Good Repair
City Clerk's Office,Notices Management Information System (NMIS) SOGR,Notices Management Information System (NMIS) SOGR,0,0,0,0,0,250,0,0,0,0,250,CW,City Wide,Legislated
City Clerk's Office,Public Appointments Information System,Public Appointments SOGR 2023-2024,0,210,215,0,0,0,0,0,0,0,425,CW,City Wide,Legislated
City Clerk's Office,Public Appointments Information System,Public Appointments SOGR 2031,0,0,0,0,0,0,0,0,0,200,200,CW,City Wide,Legislated
City Clerk's Office,Replacement of New Voting Equipment,Replacement of Voting Equipments,9000,0,0,0,0,0,0,0,0,0,9000,CW,City Wide,Legislated
City Clerk's Office,Replacement of New Voting Equipment,Replacement of Voting Equipments (scope change),-7200,0,0,0,0,0,0,0,0,0,-7200,CW,City Wide,Legislated
City Clerk's Office,TMMIS SOGR,TMMIS SOGR 2028-2031,0,0,0,0,0,0,350,350,350,350,1400,CW,City Wide,Legislated
City Clerk's Office,TMMIS SOGR,TMMIS SOGR 2019,260,0,0,0,0,0,0,0,0,0,260,CW,City Wide,Legislated
City Clerk's Office,TMMIS SOGR,TMMIS SOGR 2019 (scope change),10,260,0,0,0,0,0,0,0,0,270,CW,City Wide,Legislated
City Clerk's Office,Toronto Election Management Info System (TEMIS),2022 Election Technology Program,910,750,0,0,0,0,0,0,0,0,1660,CW,City Wide,Legislated
City Clerk's Office,Toronto Election Management Info System (TEMIS),2026 Election Technology Program,0,700,770,2850,435,620,0,0,0,0,5375,CW,City Wide,Legislated
City Clerk's Office,Toronto Election Management Info System (TEMIS),2030 Election Technology Program,0,0,0,0,0,750,800,3000,700,500,5750,CW,City Wide,Legislated
City Clerk's Office,Wedding Chambers SOGR,Wedding Chambers Renovation SOGR 2023-2024,0,100,200,0,0,0,0,0,0,0,300,CW,City Wide,State of Good Repair
City Planning,DEVELOPMENT STUDIES,Avenue/Area Studies,250,250,250,250,300,300,300,300,300,300,2800,CW,City Wide,Growth Related
City Planning,DEVELOPMENT STUDIES,Growth Secondary Plan Implementation,123,0,0,0,0,0,0,0,0,0,123,CW,City Wide,Growth Related
City Planning,DEVELOPMENT STUDIES,Growth Studies,1100,1623,1700,1400,1500,1500,1500,1500,1500,1500,14823,CW,City Wide,Growth Related
City Planning,DEVELOPMENT STUDIES,Heritage Studies,400,400,400,400,400,400,400,400,400,400,4000,CW,City Wide,Growth Related
City Planning,DEVELOPMENT STUDIES,Transportation & Transit Planning Studies,400,500,540,500,500,500,500,500,500,500,4940,CW,City Wide,Growth Related
City Planning,OFFICIAL PLAN,FIVE YEAR REVIEW OF THE OFFICIAL PLAN,300,200,350,500,400,300,150,0,250,250,2700,CW,City Wide,Legislated
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,2423,3577,3430,2936,2968,3000,3000,3000,3000,3000,30334,CW,City Wide,Growth Related
City Planning,ZONING BY-LAW,OP Conformity Review,140,200,100,0,0,0,225,0,0,0,665,CW,City Wide,Legislated
Corporate Initiatives,Rail Deck Park (CCI102-01),Rail Deck Park,960,560,0,0,0,0,0,0,0,0,1520,CW,City Wide,Growth Related
Corporate Real Estate Management,Security,Var Locs - Global Corp Security Program,650,0,0,0,0,0,0,0,0,0,650,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,CCTV Infrast Enhancem - Counter Measures,0,750,750,750,750,750,750,750,750,750,6750,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,CCTV Infrastructure Enhancement,750,0,0,0,0,0,0,0,0,0,750,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,Citywide Badge Design Program (Corp & Client),137,140,0,0,0,0,0,0,0,0,277,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,New ULC Control Ctr & Security Typical Consult'n,50,50,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,PHYSICAL SECURITY CAPITAL PLANS - 2022,1414,0,0,0,0,0,0,0,0,0,1414,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,Physical Security Capital Plans - Future Years,0,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,12723.75,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,SOGR Client Security Program 2022,1501,0,0,0,0,0,0,0,0,0,1501,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Security,Var Locs - Global Corp Security Program,0,1250,1250,1250,1250,1250,1250,1250,1250,1250,11250,CW,City Wide,Health and Safety
Corporate Real Estate Management,Security,Var Locs - Global Corp Security Program,850,0,0,0,0,0,0,0,0,0,850,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,St. Lawrence Market North Property,Redevelopment of St. Lawrence Market North,15418,19000,0,0,0,0,0,0,0,0,34418,13,Toronto Centre,Service Improvement and Enhancement
Corporate Real Estate Management,Barrier Free/Equity,AODA INITIATIVE - PHASE 1 .2016,2799,999.6999999999998,7959,2000,0,0,0,0,0,0,13757.7,CW,City Wide,Legislated
Corporate Real Estate Management,Barrier Free/Equity,Var Locs-AODA-Phase 2,52378,59612,10589,10799,0,0,0,0,0,0,133378,CW,City Wide,Legislated
Corporate Real Estate Management,Building Security,Fire Services Security Upgrades,-190,0,0,0,0,0,0,0,0,0,-190,CW,City Wide,Health and Safety
Corporate Real Estate Management,Corporate Facilities Refurbishment Program,CFRP Phase II-Future Years-VAR CLIENTS&LOC 2021,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Corporate Facilities Refurbishment Program,CFRP Phase II-Future Years-VAR CLIENTS&LOC,0,500,500,500,500,500,500,500,500,500,4500,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Corporate Facilities Refurbishment Program,CFRP Phase II-VAR CLIENTS&LOC 2022,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Customer Experience,Channel & Counter Strategy,0,3340,0,0,0,0,0,0,0,0,3340,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Customer Experience,CRM Upgrade and Replacement,2067,0,0,0,0,0,0,0,0,0,2067,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Divisional SOGR,Various EMS Locations - various SOGR projects,0,0,0,18,86,312,0,0,0,0,416,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Emergency,Various Locations - Emergency Capital Repairs,0,0,0,2417,1086,0,0,0,0,0,3503,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Emergency,91 Front E-Exhaus/Roofanchor (Upper Level),200,-200,0,0,0,0,0,0,0,0,0,13,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Emergency,Emergency Capital Repairs,1237,0,0,0,0,0,0,0,0,0,1237,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits,0,2000,3000,2000,2000,2000,2000,2000,2000,2000,19000,CW,City Wide,Health and Safety
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits 2021,1500,0,0,0,0,0,0,0,0,0,1500,CW,City Wide,Health and Safety
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits 2022,1500,2500,0,0,0,0,0,0,0,0,4000,CW,City Wide,Health and Safety
Corporate Real Estate Management,Emergency,Var Locs -Emergency Capital Repairs-2020,0,500,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Emergency,Various Locations - Emergency Capital Repairs,0,0,1775,0,0,1918,780,1339,1741,1665,9218,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Emergency,Various Locations-Emergency Capital Repairs,0,1941,0,0,0,0,0,0,0,0,1941,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mgt - 2021,500,1000,0,0,0,0,0,0,0,0,1500,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mgt 2022,500,1000,2500,0,0,0,0,0,0,0,4000,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mngmt Plan-Future Yrs,0,0,2000,2000,2000,2000,2000,2000,2000,2000,16000,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation&Demand Management Plan - 2018,500,900,0,0,0,0,0,0,0,0,1400,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Environmental,Emerg Environmental Remediation  - 2027,0,0,0,0,0,354,354,354,354,354,1770,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,Emergency Environmental Remediation,310,0,0,0,0,0,0,0,0,0,310,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,"Subs & Environ Survey,Sample & Abat-2022",1248,0,0,0,0,0,0,0,0,0,1248,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,"Subs & Environ Survey,Sample & Abat-2027",0,0,0,0,0,1429,1429,1429,1429,1429,7145,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,Var Locs-Designated Substance and Environmental An,0,1282,1316,1351,1351,0,0,0,0,0,5300,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,Var Locs-Emergency Environmental Remediation &,0,318,326,0,0,0,0,0,0,0,644,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,Var Locs-Emergency Environmental Remediation & Aba,0,0,0,335,335,0,0,0,0,0,670,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John Street -Standpipe Pump VAV Transformers,0,0,127,789,3513,0,0,0,0,0,4429,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1288 Queen W -Domestic Hot Water Heater,0,0,0,10,46,0,0,0,0,0,56,4,Parkdale-High Park,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE -Rplc of Gas Fired Infrared,0,0,0,9,83,0,0,0,0,0,92,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE-Rplc  of Exhaust Fans EF-3 a,0,0,0,6,32,0,0,0,0,0,38,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"2340 Birchmount Rd-Replace Interior, exterior Lig",0,0,0,29,266,0,0,0,0,0,295,22,Scarborough-Agincourt,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,313 PHARMACY AVE-Replace Existing Front Office &,0,14,157,0,0,0,0,0,0,0,171,20,Scarborough Southwest,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE-Replacement of electrical distribu,0,0,0,20,215,0,0,0,0,0,235,3,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Replacement of Building Make-up U,0,0,0,11,118,0,0,0,0,0,129,14,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of the Hot Water Heating Boi,0,0,0,6,52,0,0,0,0,0,58,14,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,524 OAKWOOD AVE -Replace Fire Alarm System,0,0,0,0,13,125,0,0,0,0,138,12,Toronto-St. Pauls,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,61 Toryork- Carbon Monoxide Detection,0,0,0,11,101,0,0,0,0,0,112,7,Humber River-Black Creek,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,765 Queen St-Replace rooftop HVAC unit #1,0,0,10,88,0,0,0,0,0,0,98,14,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"95 Lavinia Ave-Replace A/C  # 4, 8 and AC unit",0,0,0,8,93,0,0,0,0,0,101,4,Parkdale-High Park,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,10 William Carson-Rpl Furnaces,0,0,0,0,4,51,0,0,0,0,55,15,Don Valley West,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Galloway Road - Various Projects,0,0,12,139,0,0,0,0,0,0,151,24,Scarborough-Guildwood,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Queen W-Installation of Aut. Fire Sprinkle Sys,0,0,0,0,500,2000,2000,2000,2000,0,8500,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Queen-Wet Sprnklr Control Valves,0,0,0,0,0,0,0,0,0,294,294,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Turnberry - Various SOGR Project,0,0,0,25,194,0,0,0,0,0,219,9,Davenport,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,105 Cedarvale - Retrofit Existing Lighting System,0,0,0,0,0,0,0,0,7,45,52,19,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1076 Pape Ave - Various Projects,0,21,243,0,0,0,0,0,0,0,264,14,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,111 KING ST E-Replace Existing Rooftop HVAC Units,0,0,0,14,153,0,0,0,0,0,167,13,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,115 Parkway Forest -Various Projects,0,0,0,0,0,0,0,0,0,121,121,17,Don Valley North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1300 Sheppard Ave. W - Replacement of Power Distri,0,0,6,67,0,0,0,0,0,0,73,6,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,132 Bellevue Ave-Replace Unit Heater,0,0,0,0,0,0,0,0,0,85,85,11,University-Rosedale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,135 Davenport Rd - Various Projects,0,0,0,0,0,0,0,0,0,27,27,11,University-Rosedale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 Castlefield Ave-Lighting System including Exi,0,0,0,18,233,0,0,0,0,0,251,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 Castlefield Ave-Replac. of the Domestic H W,0,0,0,6,16,0,0,0,0,0,22,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE-Rplc of the Heating Unit in t,0,0,0,6,38,0,0,0,0,0,44,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,150 Borough - Replacement of distribution panels a,0,0,17,185,0,0,0,0,0,0,202,21,Scarborough Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"150 BoroughDr-Repl.circulation pumps,fire pumps",0,0,0,0,28,386,0,0,0,0,414,21,Scarborough Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,150 Disco - Replace rooftop A/C units,0,0,0,0,0,0,0,0,8,77,85,1,Etobicoke North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,150 Disco-Electrical Distribution Upgrades,0,0,0,0,0,0,0,0,31,186,217,1,Etobicoke North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,157 King St E - Repl of Exhaust Fans,0,0,5,52,0,0,0,0,0,0,57,13,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,175 Memorial Park Ave - Various Projects,0,0,14,154,0,0,0,0,0,0,168,14,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,18 Dyas-Replacement of Fire Alarm System,0,0,0,0,0,0,0,0,0,287,287,18,Willowdale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"20 Beffort-Boilers, Sump pump, rooftop exhaust fan",0,0,0,0,0,0,0,0,0,67,67,6,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,20 Beffort-Upgrade Office Area Power,0,0,0,0,0,0,0,0,0,20,20,6,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2050 JANE-Rpl Central UPS System,0,0,0,0,0,0,0,0,0,198,198,5,York South-Weston,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2075 BAYVIEW AVE-CO Detection,0,0,0,0,0,0,0,0,0,82,82,15,Don Valley West,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,235 CIBOLA AVE - Garage Unit Heater,0,0,0,9,29,0,0,0,0,0,38,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,255 Spadina-Hot Water Heater,0,5,37,0,0,0,0,0,0,0,42,12,Toronto-St. Pauls,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2700 Eglinton Ave W-Replace rooftop VAV unit AHU-2,0,0,0,33,320,0,0,0,0,0,353,5,York South-Weston,State of Good Repair
