Program/Agency Name,Project Name,Sub-Project Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Total 10 Year,Ward Number,Ward,Category
"Shelter, Support & Housing Administration",George Street Revitalization (GSR),GSR Phase III-Construction,7253,10367,24267,432690,2607,0,0,0,0,0,477184,13,Toronto Centre,Service Improvement and Enhancement
"Shelter, Support & Housing Administration",Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds) Site 4,0,0,8000,0,0,0,0,0,0,0,8000,13,Toronto Centre,Service Improvement and Enhancement
Children's Services,David and Mary Thomson (Child Care Centre 7),David and Mary Thomson (Child Care Centre 7),0,339,0,0,0,0,0,0,0,0,339,21,Scarborough Centre,Service Improvement and Enhancement
Children's Services,EarlyON 150 Queens Wharf Road,EarlyON 150 Queen Wharf Road,50,150,500,1000,529,0,0,0,0,0,2229,10,Spadina-Fort York,Growth Related
Children's Services,Western North York Child Care,Western North York Child Care,0,0,270,0,0,0,0,0,0,0,270,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,TELCCS - Playground Retrofit,TELCCS - Playground Retrofit 2023,550,1200,800,0,0,0,0,0,0,0,2550,CW,City Wide,State of Good Repair
Children's Services,St. Bartholomew Catholic School,St Bartholomew Additional Funding 2020,0,800,0,0,0,0,0,0,0,0,800,23,Scarborough-North,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Soccer Field (1),4,48,0,0,0,0,0,0,0,0,52,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Sports Bubble Stadium Site (1),80,1270,0,0,0,0,0,0,0,0,1350,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,FMP-Tennis Court Complex WO Lights (1) Muirlands,252,0,0,0,0,0,0,0,0,0,252,23,Scarborough-North,Growth Related
Toronto Paramedic Services,Multi-Function Station #2,Multi-Function Station #2 - DESIGN & CONSTRUCTION,3500,0,0,0,0,0,0,0,0,0,3500,21,Scarborough Centre,Growth Related
Fire Services,Toronto Fire Academy Auditorium Chairs,Toronto Fire Academy Auditorium Chairs,115,0,0,0,0,0,0,0,0,0,115,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Investigation & Pre-Engineering SI&G,0,225,0,0,0,0,0,0,0,0,225,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Facility Components,Investigation & Pre-Engineering SI&G,0,275,0,0,0,0,0,0,0,0,275,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Bluffer's Park Washroom Improvements,200,500,0,0,0,0,0,0,0,0,700,20,Scarborough Southwest,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Environmental Initiatives,Community Access to Ravines,77,0,0,0,0,0,0,0,0,0,77,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Playgrounds/Waterplay,L'Amoreaux Kidstown Improvements S42,0,4000,0,0,0,0,0,0,0,0,4000,22,Scarborough-Agincourt,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Land Acquisition,Parkland Acquisition,0,0,0,0,0,0,0,0,0,72784,72784,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Community Centres,FMP Lawrence Heights Community Centre - Design,0,25,150,125,20,0,0,0,0,0,320,8,Eglinton-Lawrence,Growth Related
"Parks, Forestry & Recreation",Park Development,St. Jamestown Open Space Construction,0,4615,0,0,0,0,0,0,0,0,4615,13,Toronto Centre,Growth Related
"Parks, Forestry & Recreation",Park Development,Milliken District Pk-Upper Pond/Stream Restoration,100,0,0,0,0,0,0,0,0,0,100,23,Scarborough-North,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,229 Richmond Street Park Development S37,0,0,5032,0,0,0,0,0,0,0,5032,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Park Development,Albert Standing Park Redevelopment S45,0,0,-150,0,0,0,0,0,0,0,-150,18,Willowdale,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,223 Gladys Allison Pl - Lee Lifeson Park Expansion,0,300,0,0,0,0,0,0,0,0,300,18,Willowdale,Growth Related
"Parks, Forestry & Recreation",Community Centres,2023 Reduction Target CAMP (SGR) Community Centres,-2150,0,0,0,0,0,0,0,0,0,-2150,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Community Centres,Oriole CC Gymnasium Addition,50,166,0,0,0,0,0,0,0,0,216,17,Don Valley North,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Playgrounds/Waterplay,CAMP (SGR) Waterplays,-3805,2623,0,0,0,0,0,0,0,0,-1182,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,495,0,0,0,0,0,0,0,0,0,495,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,0,6661,0,0,0,0,0,0,0,0,6661,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,5140,9382,551,0,0,0,0,0,0,0,15073,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Information Technology,IT-Operational Modernization,0,650,1471,1471,0,0,0,0,0,0,3592,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Information Technology,IT-PFR Public Wi-Fi Initiative,0,1000,0,0,0,0,0,0,0,0,1000,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Special Facilities,Centennial Park Ski Hill Repurposing,100,0,0,0,0,0,0,0,0,0,100,2,Etobicoke Centre,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Special Facilities,CAMP (SGR) SF Building & Structures,1685,0,0,0,0,0,0,0,0,0,1685,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Special Facilities,"2023 Reduction Target CAMP(SGR)Wfront,M,Ftn&Swall",-4791,0,0,0,0,0,0,0,0,0,-4791,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,Various Buildings & Parks Accessibility Program,2200,0,0,0,0,0,0,0,0,0,2200,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Facility Components,2023 Reduction Target Capital Emergency Fund,-500,0,0,0,0,0,0,0,0,0,-500,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Facility Components,2023 Reduction Target Various Blgs & Pks Access,-300,0,0,0,0,0,0,0,0,0,-300,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Trails & Pathways,Sherway Trail,0,12,0,0,0,0,0,0,0,0,12,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Trails & Pathways,Green Line Design & Construction,0,800,0,0,0,0,0,0,0,0,800,9,Davenport,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Humber Bay East - New Building S37/S45,0,2000,0,0,0,0,0,0,0,0,2000,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Dufferin Grove New Community Field House,1000,0,0,0,0,0,0,0,0,0,1000,9,Davenport,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Skateboard Park (1) North District Earl Bales,0,135,0,0,0,0,0,0,0,0,135,6,York Centre,Growth Related
"Parks, Forestry & Recreation",Park Development,Victoria Memorial Square Improvements S42,0,700,0,0,0,0,0,0,0,0,700,10,Spadina-Fort York,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Master Planning & Engagement,800,175,0,0,0,0,0,0,0,0,975,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Community Centres,FMP-Western North York New CC (#5) Construction,5000,24000,24000,3000,0,0,0,0,0,0,56000,7,Humber River-Black Creek,Growth Related
"Parks, Forestry & Recreation",Community Centres,FMP-Etobicoke Civic Centre Community Centre,125,125,4205,11141,0,0,0,0,0,0,15596,3,Etobicoke-Lakeshore,Growth Related
"Parks, Forestry & Recreation",Community Centres,CAMP (SGR) Community Centres,-160,14232,0,0,0,0,0,0,0,0,14072,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Community Centres,FMP-40 Wabash Parkdale New CC (#7) - Construction,0,0,0,2000,25000,24000,0,0,0,0,51000,4,Parkdale-High Park,Growth Related
"Parks, Forestry & Recreation",Pool,CAMP (SGR) Pools,142,0,0,0,0,0,0,0,0,0,142,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Special Facilities,Ferry Vessels 1 & 2 Replacement,0,0,1352,0,0,0,0,0,0,0,1352,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,464-470 Queen St W - Park Development,17,194,0,0,0,0,0,0,0,0,211,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Park Development,Turning Basin Park Design S42,500,0,0,0,0,0,0,0,0,0,500,14,Toronto-Danforth,Growth Related
"Parks, Forestry & Recreation",Park Development,Lambton Kingsway - Park Improvements S42/S37,0,168,0,0,0,0,0,0,0,0,168,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Environmental Initiatives,City Wide Environmental Initiatives,0,1025,0,0,0,0,0,0,0,0,1025,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Park Development,Gore Park & Area Park Development^,0,400,0,0,0,0,0,0,0,0,400,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Park Development,Keelesdale Park - Rebuild Stairs/Path/N.Sporting^,0,243,0,0,0,0,0,0,0,0,243,5,York South-Weston,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Mouth of the Creek Construction Ph. 1 S37/S45,0,10149,0,0,0,0,0,0,0,0,10149,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Park Development,Humber Bay Park East - Rehabilitation of Ponds,878,1984,0,0,0,0,0,0,0,0,2862,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Park Development,Osler Park - Park Improvements,850,400,0,0,0,0,0,0,0,0,1250,10,Spadina-Fort York,Service Improvement and Enhancement
Economic Development and Culture,2021 BIA Equal Share Funding,2021 BIA Equal Share Funding,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,State of Good Repair
Economic Development and Culture,Major Maintenance,Neilson Park Creative Centre Signs,10,0,0,0,0,0,0,0,0,0,10,2,Etobicoke Centre,State of Good Repair
Economic Development and Culture,2023 BIA Equal Share Funding,2023 BIA Equal Share Funding,729,1010,0,0,0,0,0,0,0,0,1739,CW,City Wide,State of Good Repair
Economic Development and Culture,Commercial Facade Improvement Program - CFIP,2023 Commercial Facade Improvement Program,0,300,0,0,0,0,0,0,0,0,300,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Community Centres,505 Richmond YMCA Funding,6000,15000,0,0,0,0,0,0,0,0,21000,10,Spadina-Fort York,Growth Related
"Parks, Forestry & Recreation",Pool,FMP-Davisville Community Pool - Design,300,200,0,0,0,0,0,0,0,0,500,12,Toronto-St. Pauls,Growth Related
"Parks, Forestry & Recreation",Park Development,318 Queens Quay W/Rees Pk Development,0,0,2100,900,0,0,0,0,0,0,3000,10,Spadina-Fort York,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Special Facilities,2023 Reduction TargetAlgonquin Island N Shore Berm,-1110,0,0,0,0,0,0,0,0,0,-1110,10,Spadina-Fort York,State of Good Repair
"Parks, Forestry & Recreation",FIFA,FIFA Training Site B Improvements,750,0,0,0,0,0,0,0,0,0,750,CW,City Wide,Service Improvement and Enhancement
Economic Development and Culture,Service Enhancement,Cedar Ridge Studio Improvements,350,300,0,0,0,0,0,0,0,0,650,24,Scarborough-Guildwood,Service Improvement and Enhancement
Economic Development and Culture,Service Enhancement,2023 Reduction Target - Fort York Exhibits,-150,0,0,0,0,0,0,0,0,0,-150,10,Spadina-Fort York,Service Improvement and Enhancement
Economic Development and Culture,2021 BIA Equal Share Funding,2023 Reduction Target - 2021 BIA Equal Share Fundi,-26,0,0,0,0,0,0,0,0,0,-26,CW,City Wide,State of Good Repair
Economic Development and Culture,Collections Care,2023 Reduction Target - Collections Facility Mecha,-209,0,0,0,0,0,0,0,0,0,-209,10,Spadina-Fort York,State of Good Repair
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Campbell House,300,0,0,0,0,0,0,0,0,0,300,10,Spadina-Fort York,State of Good Repair
Transportation Services,RSP Accessible Pedestrian Signals,2023 Adjustment Commitments,-65,127,78,0,102,0,0,0,0,0,242,CW,City Wide,Health and Safety
Transportation Services,RSP Accessible Pedestrian Signals,2023 Adjustment Commitments,-750,1455,888,0,1172,0,0,0,0,0,2765,CW,City Wide,Health and Safety
Transportation Services,Port Union Road,2023 Adjustment Commitments,34,436,718,0,0,0,0,0,0,0,1188,25,Scarborough-Rouge Park,Growth Related
Transportation Services,Work for TTC & Others,2023 To 2027 Cash Flow Work for TTC Others,0,0,0,0,0,4000,0,0,0,0,4000,CW,City Wide,Growth Related
Transportation Services,RSP Traffic Calming,2019 Adjustment - Plan,0,0,0,0,0,302,302,302,302,302,1510,CW,City Wide,Health and Safety
Transportation Services,Road Safety Plan (LGSI and SCSPEA),2022 Adjustment Commitments- plan,0,0,0,0,0,299,125,127,130,131,812,CW,City Wide,Health and Safety
Transportation Services,Road Safety Plan (LGSI and SCSPEA),2022 Adjustment Commitments- plan,0,0,0,0,0,3436,1441,1470,1499,1530,9376,CW,City Wide,Health and Safety
Transportation Services,Metrolinx Additional Infrastructure,2023 Adjustment Commitments,-1600,2200,0,0,0,0,0,0,0,0,600,CW,City Wide,Growth Related
Transportation Services,RSP Traffic Signals Major Modifications,2019 Adjustments Plan,0,0,0,0,0,192,192,192,114,114,804,CW,City Wide,Health and Safety
Transportation Services,Traffic Plant Requirements/Signal Asset Management,2023 Adjustment Commitments,-7657,500,0,0,0,0,0,0,0,0,-7157,CW,City Wide,State of Good Repair
Transportation Services,City Bridge Rehabilitation,2023 Adjustment Plan,0,0,0,0,0,0,0,0,0,40175,40175,CW,City Wide,State of Good Repair
Transportation Services,North York Service Road Extension,2023 Adjustment Commitments,-4400,-1200,2000,4000,0,0,0,0,0,0,400,18,Willowdale,Growth Related
Transportation Services,Steeles Widenings (Tapscott Road - Beare Road),2023 Adjustment Commitments,-2443,-5525,1394,4760,2295,0,0,0,0,0,481,CW,City Wide,Growth Related
Transportation Services,Steeles Widenings (Tapscott Road - Beare Road),2023 Adjustment Commitments,-431,-975,246,840,405,0,0,0,0,0,85,CW,City Wide,Growth Related
Transportation Services,Neighbourhood Improvements,2023 Adjustment Commitments,0,0,0,2000,2000,2000,0,0,0,0,6000,CW,City Wide,Service Improvement and Enhancement
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,"Convert Fire Hall to Community Space, PFR Office",780,0,0,0,0,0,0,0,0,0,780,14,Toronto-Danforth,Growth Related
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,Lower Don Coordination,0,600,0,0,0,0,0,0,0,0,600,14,Toronto-Danforth,Growth Related
City Planning,DEVELOPMENT STUDIES,Growth Studies,134,0,0,0,0,0,0,0,0,0,134,CW,City Wide,Growth Related
City Planning,ZONING BY-LAW,OP Conformity Review,60,0,0,0,0,0,0,0,0,0,60,CW,City Wide,Legislated
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,672,300,0,0,0,0,0,0,0,0,972,CW,City Wide,Growth Related
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,789,200,0,0,0,0,0,0,0,0,989,CW,City Wide,Growth Related
IDS Transit Expansion,Preliminary SmartTrack Estimates (CCI111),SmartTrack Stations,0,0,362847,0,357153,158000,0,0,0,0,878000,CW,City Wide,Growth Related
IDS Transit Expansion,Transit Expansion Initiatives (CCI100),Eglinton East LRT (CCI100-02),2000,0,0,0,0,0,0,0,0,0,2000,CW,City Wide,Growth Related
Transportation Services,Neighbourhood Improvements,MM47.90 Manor Road Square (2100 Yonge St),0,711.8,0,0,0,0,0,0,0,0,711.8,CW,City Wide,Service Improvement and Enhancement
Transportation Services,John Street Revitalization Project,2019 Adjustment - Phase 1b Cash Flows + Utility Re,9430,0,0,0,0,0,0,0,0,0,9430,10,Spadina-Fort York,Growth Related
Transportation Services,City Bridge Rehabilitation,2018 Adjustment - ECS,-542,-549,-557,-566,0,0,0,0,0,0,-2214,CW,City Wide,State of Good Repair
Transportation Services,Major Road Rehabilitation,2018 Adjustment - TAMS System,700,500,500,550,550,0,0,0,0,0,2800,CW,City Wide,State of Good Repair
Transportation Services,Major Road Rehabilitation,2023 Reduction Target,-15000,-10000,0,0,0,0,0,0,0,0,-25000,CW,City Wide,State of Good Repair
Transportation Services,Local Road Rehabilitation,2018 Adjust - TAMS System,700,500,500,550,550,0,0,0,0,0,2800,CW,City Wide,State of Good Repair
Transportation Services,North York Service Road Extension,2017 Recast Capital Budget,1750,0,0,0,0,0,0,0,0,0,1750,18,Willowdale,Growth Related
Transportation Services,Housing Now Site,Propperty Acuqisition,0,1200,0,0,0,0,0,0,0,0,1200,16,Don Valley East,Service Improvement and Enhancement
Transportation Services,Major Pooled Contingency,2023 - 2027 Bridges Walks Lanes Roads,1045,1028,1028,1028,1028,0,0,0,0,0,5157,CW,City Wide,State of Good Repair
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,Regional Sports Centre,2949,7704,7320,0,0,0,0,0,0,0,17973,14,Toronto-Danforth,Growth Related
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,Lower Don Coordination,400,0,0,0,0,0,0,0,0,0,400,14,Toronto-Danforth,Growth Related
Transportation Services,West Toronto Rail Path Extension,2021 Adjustment Commitments,4250,2750,0,0,0,0,0,0,0,0,7000,CW,City Wide,Service Improvement and Enhancement
Transportation Services,West Toronto Rail Path Extension,2022 Commitment Adjustment,0,14738,0,0,0,0,0,0,0,0,14738,CW,City Wide,Service Improvement and Enhancement
Transportation Services,IT EWMS Improvement,IT EWMS Improvement,1043,0,114,0,0,0,0,0,0,0,1157,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Port Union Road,2018 Adjust Cash Flow for 2018 to 2021,184,0,0,0,0,0,0,0,0,0,184,25,Scarborough-Rouge Park,Growth Related
Transportation Services,Rean to Kenaston New Road,Property Acquisition,4300,0,0,0,0,0,0,0,0,0,4300,18,Willowdale,Growth Related
Transportation Services,Critical Interim Road Rehabilitation Pool,2021 Adjustment Commitments,9607,0,0,0,0,0,0,0,0,0,9607,CW,City Wide,State of Good Repair
Transportation Services,King Street Transit Priority Corridor,2020 Adjustment Commitments,1360,0,0,0,0,0,0,0,0,0,1360,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Neighbourhood Improvements,MM44.79 N.I. Bathurst Street at FY Streetscape,0,579,0,0,0,0,0,0,0,0,579,10,Spadina-Fort York,Service Improvement and Enhancement
Transportation Services,RSP New Traffic Control Signals / Devices,2021 Final Year End Adjustment,83,0,0,0,0,0,0,0,0,0,83,CW,City Wide,Health and Safety
Transportation Services,RSP New Traffic Control Signals / Devices,2021 Adjustment Commitments,-4297,-981,2800,2478,0,0,0,0,0,0,0,CW,City Wide,Health and Safety
Transportation Services,Scarlett/St Clair/Dundas,2021 Adjustment Commitments,5494,777,0,0,0,0,0,0,0,0,6271,CW,City Wide,Growth Related
Transportation Services,Scarlett/St Clair/Dundas,2021 Adjustment Commitments,9356,1323,0,0,0,0,0,0,0,0,10679,CW,City Wide,Growth Related
Transportation Services,Sheppard Bridge over Highway 404 Public Realm Imp,2021 Final Year End Adjustment,0,55,0,0,0,0,0,0,0,0,55,17,Don Valley North,Service Improvement and Enhancement
Transportation Services,Emery Village Improvements,2023 Adjustment Commitments,0,420,0,0,0,0,0,0,0,0,420,CW,City Wide,Growth Related
Transportation Services,GO Transit Expansion City Share,2019 RER Steeles/Kennedy,-1100,-1100,0,0,0,0,0,0,0,0,-2200,22,Scarborough-Agincourt,Growth Related
Transportation Services,GO Transit Expansion City Share,2021 Adjustment Commitments,0,2200,0,0,0,0,0,0,0,0,2200,CW,City Wide,Growth Related
Transportation Services,GO Transit Expansion City Share,2022 Commitment Adjustment,0,-401,0,0,0,0,0,0,0,0,-401,CW,City Wide,Growth Related
Transportation Services,Regent Park Revitalization,2021 Adjustment Commitments,1004,0,0,0,0,0,0,0,0,0,1004,CW,City Wide,Growth Related
Transportation Services,Legion Road Extension & Grade Separation,2022 Commitment Adjustment,2800,0,0,0,0,0,0,0,0,0,2800,6,York Centre,Growth Related
Transportation Services,RSP Accessible Pedestrian Signals,Adjust Funding - 2017 to  2025,24,0,-119,0,0,0,0,0,0,0,-95,CW,City Wide,Health and Safety
Transportation Services,RSP Accessible Pedestrian Signals,Increase Funding - 2017 to  2025,-45,-45,-45,0,0,0,0,0,0,0,-135,CW,City Wide,Health and Safety
Transportation Services,Thunder Woman Healing Lodge,Property Acuqisition,0,115,0,0,0,0,0,0,0,0,115,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Pedestrian Safety and Infrastructure Programs,2021 Adjustment Commitments,-63,0,0,0,0,0,0,0,0,0,-63,CW,City Wide,Health and Safety
Transportation Services,System Enhancements for Road Repair & Permits,2021 Final Year End Adjustment,0,441,0,0,0,0,0,0,0,0,441,CW,City Wide,Service Improvement and Enhancement
Transportation Services,F.G. Gardiner - Critical Repairs,2018 F.Gardiner Adjust Cash Flow,600,600,0,0,0,0,0,0,0,0,1200,CW,City Wide,State of Good Repair
Transportation Services,North York Service Road Extension,2019 Adjustment Commitments,4200,0,0,0,0,0,0,0,0,0,4200,18,Willowdale,Growth Related
Transportation Services,North York Service Road Extension,2021 Final Year End Adjustment,-2239,0,0,0,0,0,0,0,0,0,-2239,18,Willowdale,Growth Related
Transportation Services,Six Points Interchange Redevelopment,2021 Final Year End Adjustment,450,0,0,0,0,0,0,0,0,0,450,3,Etobicoke-Lakeshore,Growth Related
Transportation Services,RSP Transportation Safety & Local Improvement,2020 Adjustment Commitments,1305,1324,0,0,0,0,0,0,0,0,2629,CW,City Wide,Health and Safety
Transportation Services,RSP Missing Link Sidewalk,2020 Adjustment Commitments,500,500,0,0,0,0,0,0,0,0,1000,CW,City Wide,Health and Safety
Transportation Services,Glen Road Pedestrian Bridge,2022 Adjustment Commitments,4372,0,200,0,0,0,0,0,0,0,4572,11,University-Rosedale,Health and Safety
Transportation Services,Traffic Congestion Management,2022 Commitment Adjustment,0,1380,0,0,0,0,0,0,0,0,1380,CW,City Wide,Service Improvement and Enhancement
Transportation Services,Traffic Congestion Management,2021 Final Year End Adjustment,614,0,0,0,0,0,0,0,0,0,614,CW,City Wide,Service Improvement and Enhancement
Transportation Services,RSP New Traffic Control Signals / Devices,2020 Adjustment Commitments,1308,1308,0,0,0,0,0,0,0,0,2616,CW,City Wide,Health and Safety
Transportation Services,RSP New Traffic Control Signals / Devices,2021 Adjustment Commitments,8448,192,0,0,0,0,0,0,0,0,8640,CW,City Wide,Health and Safety
Transportation Services,Traffic Plant Requirements/Signal Asset Management,2021 Adjustment Commitments,0,0,6925,0,0,0,0,0,0,0,6925,CW,City Wide,State of Good Repair
