Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
"Parks, Forestry & Recreation",Park Development,Apted Park Construction,0,0,700,0,0,0,0,0,0,0,700,7,Humber River-Black Creek,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Pool,FMP-Waterfront West Pool Addition (1) Design,0,0,0,0,0,0,0,600,2500,400,3500,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Media Hub Water's Edge Promenade,0,0,2000,0,0,0,0,0,0,0,2000,14,Toronto-Danforth,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Eglinton Park Master Plan Implementation,0,0,0,25,200,0,0,0,0,0,225,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 8 Wading Pool Convert to Splash Pad (2),0,70,280,0,0,0,0,0,0,0,350,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Environmental Initiatives,City Wide Environmental Initiatives,0,0,3000,3000,3000,3000,3000,3000,3000,3000,24000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Special Facilities,Critical SOGR to Maintain Service-Bldgs & Struct,0,0,0,129,549,434,2081,934,1520,0,5647,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Facility Components,Investigation & Pre-Engineering SI&G,0,0,225,225,225,0,0,0,0,0,675,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Special Facilities,"CAMP(SGR) Waterfront, Marine,Fountains &Seawalls",0,0,0,4711,6118,2738,5351,4314,3589,7473,34294,CW,City Wide,State of Good Repair C03
Seniors Services and Long-Term Care,Building SOGR,Building SOGR - Ongoing,0,0,0,1231,1231,1231,1231,1231,1231,1231,8617,CW,City Wide,State of Good Repair C03
Toronto Shelter and Support Services,AODA,AODA,0,5417,0,0,0,0,0,0,0,0,5417,CW,City Wide,Legislated C02
Toronto Shelter and Support Services,Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds) Site 3,168,0,0,0,0,0,0,0,0,0,168,1,Etobicoke North,Service Improvement and Enhancement C04
Toronto Shelter and Support Services,Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds) Site 8,1456,0,0,0,0,0,0,0,0,0,1456,13,Toronto Centre,Service Improvement and Enhancement C04
Children's Services,Mount Dennis Child Care Centre,Mount Dennis AddL Funding 2024,0,2500,0,0,0,0,0,0,0,0,2500,5,York South-Weston,Service Improvement and Enhancement C04
Children's Services,St. Barnabas Catholic School,St. Barnabas Catholic School,350,0,0,0,0,0,0,0,0,0,350,23,Scarborough-North,Service Improvement and Enhancement C04
Children's Services,TCH Needle Firway,TCH Needle Firway,100,1400,60,0,0,0,0,0,0,0,1560,7,Humber River-Black Creek,Service Improvement and Enhancement C04
Children's Services,TCH Needle Firway,TCH Needle Firway - 2024 AddL Funding,0,0,0,3000,0,0,0,0,0,0,3000,7,Humber River-Black Creek,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Information Technology,"IT-Registration, Permitting & Licensing CLASS CoS",3700,0,0,0,0,0,0,0,0,0,3700,CW,City Wide,Service Improvement and Enhancement C04
Toronto Paramedic Services,Ambulance Post Program,Ambulance Post #3 - 844 Don Mills Rd,100,500,1350,1000,0,0,0,0,0,0,2950,16,Don Valley East,Growth Related C05
Toronto Paramedic Services,Ambulance Post Program,Ambulance Post #4 - 4610 Finch Ave East,100,500,1350,0,0,0,0,0,0,0,1950,23,Scarborough-North,Growth Related C05
Toronto Paramedic Services,Multi-Function Station #2,Multi-Function Station #2 - DESIGN & CONSTRUCTION,0,5500,5750,0,0,0,0,0,0,0,11250,21,Scarborough Centre,Growth Related C05
Toronto Paramedic Services,Multi-Function Station #2,MF#02 - COVID Surcharge and NetZero,0,7800,8700,0,0,0,0,0,0,0,16500,21,Scarborough Centre,Growth Related C05
Toronto Paramedic Services,Multi-Function Station #2,MF#02 - COVID Surcharge and NetZero,0,11200,10300,0,0,0,0,0,0,0,21500,21,Scarborough Centre,Growth Related C05
Toronto Paramedic Services,Future Strategic Staging Locations (F-SSL),Future Strategic Staging Locations (F-SSL),600,0,0,0,0,0,0,0,0,0,600,CW,City Wide,Service Improvement and Enhancement C04
Fire Services,West Training Burn House Repairs,West Training Burn House Repairs,75,0,0,0,0,0,0,0,0,0,75,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,-3065,-1110,17731,0,0,0,0,0,0,0,13556,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,0,0,1025,0,0,0,0,0,0,0,1025,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Land Acquisition,Parkland Acquisition,0,0,0,0,-6250,-6250,14000,0,0,0,1500,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Fleet for Park Operation,120,0,0,0,0,0,0,0,0,0,120,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,223 Gladys Allison Pl - Lee Lifeson Park Expansion,70,0,0,0,0,0,0,0,0,0,70,18,Willowdale,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Lawrence Heights Ph1a-Baycrest Additional Funds,0,200,0,0,0,0,0,0,0,0,200,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Environmental Initiatives,Community Gardens Program,50,0,0,0,0,0,0,0,0,0,50,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Environmental Initiatives,City Wide Environmental Initiatives,0,1548,0,0,0,0,0,0,0,0,1548,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Willowdale Park & Playground Improvements S37,60,0,0,0,0,0,0,0,0,0,60,18,Willowdale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Bishop Park Playground Improvements,0,100,0,0,0,0,0,0,0,0,100,18,Willowdale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Information Technology,IT-PFR Public Wi-Fi Initiative,1000,0,0,0,0,0,0,0,0,0,1000,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Information Technology,IT-Operational Modernization,0,136,0,0,0,0,0,0,0,0,136,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Fleet for Water Asset Activation,1125,0,0,0,0,0,0,0,0,0,1125,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Fleet to Improve Winter Access in Parks,315,0,0,0,0,0,0,0,0,0,315,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",FIFA,FIFA Training Site A Improvements,1479,2792,0,0,0,0,0,0,0,0,4271,2,Etobicoke Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,"CAMP(SGR) Parking Lots, Tennis Courts &Sports Pads",440,0,0,0,0,0,0,0,0,0,440,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Trails & Pathways,York Beltline Trail Improvements,0,825,0,0,0,0,0,0,0,0,825,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Trails & Pathways,South Mimico Trail,0,522,0,0,0,0,0,0,0,0,522,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Trails & Pathways,Cornell Park Lighting,485,0,0,0,0,0,0,0,0,0,485,24,Scarborough-Guildwood,Health and Safety C01
"Parks, Forestry & Recreation",Trails & Pathways,"CAMP (SGR) Trails, Pathways & Bridges",-238,974,0,0,0,0,0,0,0,0,736,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Trails & Pathways,"CAMP (SGR) Trails, Pathways & Bridges",1500,0,1625,0,0,0,0,0,0,0,3125,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Washrooms Enhancement Program,400,915,0,0,0,0,0,0,0,0,1315,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Jean Sibelius Square Fitness Equipment,50,0,0,0,0,0,0,0,0,0,50,11,University-Rosedale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Skate Spots (2) Design & Construction,5,45,0,0,0,0,0,0,0,0,50,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Sports Field Improvements,108,0,0,0,0,0,0,0,0,0,108,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,640 Lansdowne Avenue - Park Development,0,50,500,0,0,0,0,0,0,0,550,9,Davenport,Growth Related C05
"Parks, Forestry & Recreation",Park Development,10 Ordnance Street Development - Construction S42,0,2620,350,0,0,0,0,0,0,0,2970,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Mouth of the Creek/Lower Garrison Creek Constructi,0,1360,0,0,0,0,0,0,0,0,1360,10,Spadina-Fort York,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Toronto Island Master Plan Implementation,1000,3000,0,0,0,0,0,0,0,0,4000,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Dieppe Park Improvements - Phase 2,215,485,0,0,0,0,0,0,0,0,700,14,Toronto-Danforth,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Silverview Park Redevelopment Study S37,180,0,0,0,0,0,0,0,0,0,180,18,Willowdale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Victoria Memorial Square Improvements S42,400,500,0,0,0,0,0,0,0,0,900,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Little Jamaica & Eglinton West NBHD Park Improve,0,100,400,500,500,0,0,0,0,0,1500,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Park Development,St. Patrick's Square - Park Improvements S37,0,270,0,0,0,0,0,0,0,0,270,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Village of Yorkville Park Lighting Improvements,460,100,0,0,0,0,0,0,0,0,560,11,University-Rosedale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Aneta Circle Parkette Improvements,-500,0,0,0,0,0,0,0,0,0,-500,18,Willowdale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Centennial Park Master Plan Ph1 Implementation,0,2100,0,0,0,0,0,0,0,0,2100,2,Etobicoke Centre,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Hickory Tree Road - New Park,0,773,0,0,0,0,0,0,0,0,773,5,York South-Weston,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Phoebe St/Soho Square - New Park Development,0,22,0,0,0,0,0,0,0,0,22,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,150 Sterling - Above Base Park Development,0,11,128,0,0,0,0,0,0,0,139,9,Davenport,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Moss Park - Park Redevelopment Design,300,0,0,0,0,0,0,0,0,0,300,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Eglinton Park Master Plan Implementation,0,271,0,0,0,0,0,0,0,0,271,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Eglinton Park Master Plan Implementation,0,2429,0,0,0,0,0,0,0,0,2429,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Huron Washington Park Improvements Uof T,256,0,0,0,0,0,0,0,0,0,256,11,University-Rosedale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Community Centres,CAMP (SGR) Community Centres,0,0,2300,0,0,0,0,0,0,0,2300,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Community Centres,FMP-Jenner Jean-Marie CC Space Addition (1) Design,0,0,35,0,0,0,0,0,0,0,35,15,Don Valley West,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Wallace Emerson (Galleria) Redevelopment,2670,12630,0,0,0,0,0,0,0,0,15300,9,Davenport,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-East Bayfront Community Centre,700,0,0,0,0,0,0,0,0,0,700,10,Spadina-Fort York,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP John Innes CRC Redevelopment (3) - Design,800,1940,900,600,200,200,0,0,0,0,4640,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Special Facilities,Centennial Park Ski Hill Repurposing,315,0,0,0,0,0,0,0,0,0,315,2,Etobicoke Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Special Facilities,"CAMP(SGR) Waterfront,Marine,Ftn&Seawall",2942,0,0,0,0,0,0,0,0,0,2942,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Special Facilities,CAMP (SGR) SF Building & Structures,4164,2624,0,0,0,0,0,0,0,0,6788,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Special Facilities,Golf Courses Rehabilitation,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Park Development,Yonge Street Linear Parks Improvement S42,1000,0,0,0,0,0,0,0,0,0,1000,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,318 Queens Quay W/Rees Pk Development,0,0,2000,0,0,0,0,0,0,0,2000,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Park Lawn Track S42,395,0,0,0,0,0,0,0,0,0,395,3,Etobicoke-Lakeshore,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Mini-Soccer Field (1),20,0,0,0,0,0,0,0,0,0,20,1,Etobicoke North,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Basketball Full Court - Stephen Leacock Park,0,75,0,0,0,0,0,0,0,0,75,22,Scarborough-Agincourt,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Skateboard Park (1) North District Earl Bales,0,200,0,0,0,0,0,0,0,0,200,6,York Centre,Growth Related C05
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 24 Splash Pad #2 (Scarborough Village),0,100,0,0,0,0,0,0,0,0,100,24,Scarborough-Guildwood,Growth Related C05
"Parks, Forestry & Recreation",Arena,FMP-Skating Trail (Centennial Park),0,945,0,0,0,0,0,0,0,0,945,2,Etobicoke Centre,Growth Related C05
"Parks, Forestry & Recreation",Facility Components,Critical Imminent Service Disruption,5000,0,0,0,0,0,0,0,0,0,5000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Community Centres,FMP-Wallace Emerson (Galleria) Redevelopment,0,3480,0,0,0,0,0,0,0,0,3480,9,Davenport,Growth Related C05
Economic Development & Culture,BIA Planning Act Revenues,PAR York-Eglinton,50,0,0,0,0,0,0,0,0,0,50,CW,City Wide,State of Good Repair C03
Economic Development & Culture,2023 BIA Equal Share Funding,2023 BIA Equal Share Funding,760,250,0,0,0,0,0,0,0,0,1010,CW,City Wide,State of Good Repair C03
Economic Development & Culture,Major Maintenance,Alumnae Theatre Waterproofing,550,0,0,0,0,0,0,0,0,0,550,13,Toronto Centre,State of Good Repair C03
Economic Development & Culture,Cultural Infrastructure Development,Ordnance Park Public Art,164,0,0,0,0,0,0,0,0,0,164,10,Spadina-Fort York,Growth Related C05
Economic Development & Culture,Restoration/Preservation of Heritage Elements,Spadina Garage Restoration & AODA,150,250,0,0,0,0,0,0,0,0,400,12,Toronto-St. Pauls,State of Good Repair C03
Economic Development & Culture,Restoration/Preservation of Heritage Elements,Colborne Lodge Roofing,350,0,0,0,0,0,0,0,0,0,350,4,Parkdale-High Park,State of Good Repair C03
Economic Development & Culture,Collections Care,Large Artifact Care Ned Hanlan,150,300,0,0,0,0,0,0,0,0,450,CW,City Wide,State of Good Repair C03
Economic Development & Culture,Collections Care,Collections Facility Mechanical,300,0,0,0,0,0,0,0,0,0,300,10,Spadina-Fort York,State of Good Repair C03
Economic Development & Culture,Eglinton Crosstown BIA Streetscape Improvements,Eglinton Crosstown BIA Streetscape Improvements,260,260,170,0,0,0,0,0,0,0,690,CW,City Wide,State of Good Repair C03
Economic Development & Culture,Eglinton Crosstown BIA Streetscape Improvements,Eglinton Crosstown BIA Streetscape Improvements,260,260,170,0,0,0,0,0,0,0,690,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Pool,FMP-Davisville Community Pool - Design,200,0,0,0,0,0,0,0,0,0,200,12,Toronto-St. Pauls,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-East Bayfront Community Centre,0,4000,0,0,0,0,0,0,0,0,4000,10,Spadina-Fort York,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Western North York New CC (#5) Construction,0,0,33500,12000,0,0,0,0,0,0,45500,7,Humber River-Black Creek,Growth Related C05
"Parks, Forestry & Recreation",Pool,Blantyre ODP Improvements S37 S42,0,1250,0,0,0,0,0,0,0,0,1250,20,Scarborough Southwest,Service Improvement and Enhancement C04
Transportation Services,Road Safety Plan (LGSI and SCSPEA),2022 Adjustment Commitments- plan,0,0,0,0,299,125,127,130,131,136,948,CW,City Wide,Health and Safety C01
Transportation Services,St Clair TMP:Keele to Old Weston,2024 Adjustment Commitments,-9200,-42585,0,0,0,0,0,0,0,0,-51785,CW,City Wide,Growth Related C05
Transportation Services,TO360 Wayfinding,2024 Adjustment Commitments,73,-73,560,966,0,0,0,0,0,0,1526,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,John Street Revitalization Project,2024 Adjustment Commitments,0,0,1323,1970,689,689,0,0,0,0,4671,10,Spadina-Fort York,Growth Related C05
Transportation Services,Re-Imagining Yonge St Shep to Finch,2024 Adjustment Commitments,-408,107,330,0,0,0,0,0,0,0,29,CW,City Wide,Growth Related C05
Transportation Services,Port Union Road,2024 Adjustment Commitments,-6204,1267,4611,0,0,0,0,0,0,0,-326,25,Scarborough-Rouge Park,Growth Related C05
Transportation Services,F. G. Gardiner Rehabilitation Program,2024 Adjustment Commitments,-10000,-76947,-300000,-455000,-347830,-200000,-200003,0,0,0,-1589780,CW,City Wide,State of Good Repair C03
Transportation Services,City Bridge Rehabilitation,2024 Adjustment Commitments  (2024-2025),26000,0,0,0,0,0,0,0,0,0,26000,CW,City Wide,Health and Safety C01
City Planning,DEVELOPMENT STUDIES,Transportation & Transit Planning Studies,0,160,200,200,200,200,200,200,200,200,1760,CW,City Wide,Growth Related C05
Transportation Services,Steeles Widenings (Tapscott Road - Beare Road),2024 Adjustment Commitments,-1700,-6281,884,4590,2295,0,0,0,0,0,-212,CW,City Wide,Growth Related C05
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,Bayside Phase 2 Water's Edge Promenade,8843,6579,0,0,0,0,0,0,0,0,15422,10,Spadina-Fort York,Growth Related C05
City Planning,DEVELOPMENT STUDIES,Transportation & Transit Planning Studies,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,Growth Related C05
City Planning,DEVELOPMENT STUDIES,Growth and Area Studies,560,0,0,0,0,0,0,0,0,0,560,CW,City Wide,Growth Related C05
City Planning,DEVELOPMENT STUDIES,Growth Studies,180,0,0,0,0,0,0,0,0,0,180,CW,City Wide,Growth Related C05
Transit Expansion,FLOOD PROTECTION FOR BROADVIEW/EASTERN,FLOOD PROTECTION FOR BROADVIEW/EASTERN (CCI116-01),2000,2000,1000,0,0,0,0,0,0,0,5000,14,Toronto-Danforth,Growth Related C05
Transportation Services,Legion Road Extension & Grade Separation,2018 Adjust Cash Flow for 2018 to 2023,700,0,0,0,0,0,0,0,0,0,700,3,Etobicoke-Lakeshore,Growth Related C05
Transportation Services,Major Road Rehabilitation,2018 Adjustment - TAMS System,500,500,550,550,0,0,0,0,0,0,2100,CW,City Wide,State of Good Repair C03
Transportation Services,Major Road Rehabilitation,2023 Reduction Target,-10000,0,0,0,0,0,0,0,0,0,-10000,CW,City Wide,State of Good Repair C03
Transportation Services,Rockcliffe Flood Mitigation,2019 Submission (Plan),320,6878,5958,5878,0,0,0,0,0,0,19034,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Housing Now Site,Propperty Acuqisition,1200,0,0,0,0,0,0,0,0,0,1200,16,Don Valley East,Service Improvement and Enhancement C04
Transportation Services,Laneways,2020 Adjustment Commitments,1239,0,0,0,0,0,0,0,0,0,1239,CW,City Wide,State of Good Repair C03
Transportation Services,Neighbourhood Improvements,MPB4.1 Motion 6 University Ave at Wellington,0,198,0,0,0,0,0,0,0,0,198,10,Spadina-Fort York,Service Improvement and Enhancement C04
Transportation Services,Emery Village Improvements,2022 Commitment Adjustment,0,1850,0,0,0,0,0,0,0,0,1850,CW,City Wide,Growth Related C05
Transportation Services,Metrolinx Additional Infrastructure,2023 Adjustment Commitments,2200,0,0,0,0,0,0,0,0,0,2200,CW,City Wide,Growth Related C05
Transportation Services,Yonge St Heath St intersection Improvement,Property Acquisition,0,11310,0,0,0,0,0,0,0,0,11310,CW,City Wide,Health and Safety C01
Transportation Services,Major Pooled Contingency,2022 Year End Adjustment,-48,0,0,0,0,0,0,0,0,0,-48,CW,City Wide,State of Good Repair C03
Transportation Services,GO Transit Expansion City Share,2021 Adjustment Commitments,0,8800,0,0,0,0,0,0,0,0,8800,CW,City Wide,Growth Related C05
Transportation Services,GO Transit Expansion City Share,2022 Commitment Adjustment,0,501,0,0,0,0,0,0,0,0,501,CW,City Wide,Growth Related C05
Transportation Services,RSP New Traffic Control Signals / Devices,2021 Adjustment Commitments,128,0,0,0,0,0,0,0,0,0,128,CW,City Wide,Health and Safety C01
Transportation Services,West Toronto Rail Path Extension,2023 Commitment Adjustment,2338,5721,2722,0,0,0,0,0,0,0,10781,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Traffic Plant Requirements/Signal Asset Management,2022 Commitment Adjustment,0,0,6925,0,0,0,0,0,0,0,6925,CW,City Wide,State of Good Repair C03
Transportation Services,MoveTO,2021 Submission,6852,9652,0,0,0,0,0,0,0,0,16504,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Engineering Studies,2022 Year End Adjustment,-417,0,0,0,0,0,0,0,0,0,-417,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Local Road Rehabilitation,2022 Year End Adjustment,-10418,-10417,0,0,0,0,0,0,0,0,-20835,CW,City Wide,State of Good Repair C03
Transportation Services,John Street Revitalization Project,2023 Adjustment Commitments,-2000,0,2000,0,0,0,0,0,0,0,0,10,Spadina-Fort York,Growth Related C05
Transportation Services,St Clair TMP:Keele to Old Weston,2021 St Clair TMP Gunns and Davenport (P&C),22250,71107,0,0,0,0,0,0,0,0,93357,CW,City Wide,Growth Related C05
Transportation Services,Work for TTC & Others,2021 Adjustment Commitments,2000,3200,3200,0,0,0,0,0,0,0,8400,CW,City Wide,Growth Related C05
Transportation Services,Work for TTC & Others,2022 Commitment Adjustment,0,0,0,4000,0,0,0,0,0,0,4000,CW,City Wide,Growth Related C05
Transportation Services,Facility Improvements,2023 Adjustment Commitments,320,104,0,0,0,0,0,0,0,0,424,CW,City Wide,State of Good Repair C03
Transportation Services,RSP Traffic Calming,2022 Adjustment Commitments,0,26,26,0,0,0,0,0,0,0,52,CW,City Wide,Health and Safety C01
